20 PA3-G-Unknown-Output.txt
-34.02	 -23.94	 -13.62			-33.90	 -23.80	 -13.72		0.208
11.42	 21.55	 -18.27			12.35	 21.25	 -18.23		0.976
18.09	 1.80	 -28.63			20.94	 3.27	 -27.19		3.518
15.70	 13.11	 47.58			19.80	 15.99	 47.99		5.025
-37.69	 -12.33	 -11.41			-37.89	 -12.40	 -11.21		0.293
3.60	 16.70	 -6.86			4.87	 15.11	 -5.39		2.506
-9.31	 -4.57	 48.82			-5.06	 -2.14	 48.94		4.898
11.29	 -7.89	 51.20			10.95	 -6.49	 51.29		1.442
32.80	 -6.21	 -17.40			33.33	 -6.59	 -17.54		0.658
17.08	 18.79	 -30.34			17.19	 18.81	 -30.61		0.297
35.26	 -2.79	 -13.99			35.89	 -3.06	 -13.95		0.683
-3.86	 -17.85	 -39.09			-3.80	 -17.89	 -39.15		0.095
-38.46	 -4.45	 -45.51			-36.05	 -5.41	 -42.77		3.775
-29.13	 10.03	 -32.14			-28.95	 9.43	 -31.88		0.676
6.97	 -10.32	 16.48			6.72	 -9.43	 16.25		0.957
29.01	 16.51	 -18.03			31.21	 17.73	 -18.86		2.651
14.75	 -19.24	 -13.90			15.59	 -16.38	 -12.80		3.173
18.60	 21.27	 10.05			19.58	 24.59	 10.80		3.542
-14.81	 3.90	 13.51			-12.22	 4.10	 13.14		2.616
16.82	 -8.43	 -26.08			18.43	 -7.98	 -23.32		3.219
